DESCRIPCION;UNIDAD;EQUIVALENTE SUNAT;PRECIO DE VENTA SOLES;COSTO INICIAL SOLES;MARCA;CONTROL DE STOCK FLEXIBLE;TIPO AFECTACION IGV;STOCK
SAAR001;UNIDAD;;12;1;CEMENTO YURA;SI;;
SAAR002;UNIDAD;;13;2;CEMENTO MISHKY;;;
SAAR003;UNIDAD;;14;3;FIERRO DE 1/4;SI;;20
SAAR004;UNIDAD;;15;4;FIERRO DE 1/2;SI;;0
SAAR005;UNIDAD;;16;5;FIERRO DE 3/8;SI;;1
SAAR006;UNIDAD;;17;6;FIERRO DE 5/8;SI;;1
SAAR007;UNIDAD;;18;7;ALAMBRE NUMERO 8;SI;;100
SAAR008;UNIDAD;;19;8;ALAMBRE NUMERO 16;SI;;108
SAAR009;UNIDAD;;20;9;ALAMBRE  GALBANIZADO;SI;;31
SAAR010;UNIDAD;;21;10;"TUBOS DE DESAGUE DE 2""";SI;;9
SAAR011;UNIDAD;;22;11;"TUBOS DE DESAGUE DE 3""";SI;;5
SAAR012;UNIDAD;;23;12;"TUBOS DE DESAGUE DE 4""";SI;;6
SAAR013;UNIDAD;;24;13;TUBOS DE AGUA FRIA 1/2;SI;;10
SAAR014;UNIDAD;;25;14;TUBOS DE AGUA FRIA 3/4;SI;;3
SAAR015;UNIDAD;;26;15;"TUBOS DE AGUA FRIA DE 1""";SI;;5
SAAR016;UNIDAD;;27;16;TUBOS DE AGUA CALIENTE DE 1/2;SI;;4
SAAR017;UNIDAD;;28;17;TUBOS DE AGUA CALIENTE DE 3/4;SI;;3
SAAR018;UNIDAD;;29;18;TUBOS DE LUZ DE 3/4;SI;;41
SAAR019;UNIDAD;;30;19;"TUBOS DE LUZ DE 1""";SI;;28
SAAR020;UNIDAD;;31;20;CODOS DE 1/2 TIGRE ;SI;;51
SAAR021;UNIDAD;;32;21;CODOS DE 1/2 X 45 TIGRE;SI;;18
SAAR022;UNIDAD;;33;22;CODOS CON INSERTO DE 1/2 ;SI;;12
SAAR023;UNIDAD;;34;23;TE CON INSERTO DE 1/2;SI;;8
SAAR024;UNIDAD;;35;24;UNION CON INSERTO ;SI;;3
SAAR025;UNIDAD;;36;25;TEE DE 1/2 TIGRE;SI;;27
SAAR026;UNIDAD;;37;26;UNION DE 1/2 TIGRE;SI;;58
SAAR027;UNIDAD;;38;27;UNION UNIVERSAL DE 1/2 TIGRE;SI;;26
SAAR028;UNIDAD;;39;28;TAPON MACHO 1/2;SI;;55
SAAR029;UNIDAD;;40;29;TAPON HEMBRA DE 1/2;SI;;47
SAAR030;UNIDAD;;41;30;BUGUEE 1/2;SI;;28
SAAR031;UNIDAD;;42;31;BUGUEE DE 1/2 X 3/4 ;SI;;35
SAAR032;UNIDAD;;43;32;REDUCCION CAMPANA DE 1/2 A 3/4;SI;;32
SAAR033;UNIDAD;;44;33;"REDUCCION CAMPANA DE 1 "" A 1/2";SI;;20
SAAR034;UNIDAD;;45;34;"REDUCCION CAMPANA DE 1 "" A 3/4";SI;;5
SAAR035;UNIDAD;;46;35;CODO DE 1/2 PVC PLOMO;SI;;54
SAAR036;UNIDAD;;47;36;CODO DE 1/2 PVC MIXTO;SI;;11
SAAR037;UNIDAD;;48;37;CODO DE 1/2 PVC SIN HILO;SI;;26
SAAR038;UNIDAD;;49;38;CODO DE 1/2 PVC NORMAL;SI;;18
SAAR039;UNIDAD;;50;39;CODO DE 1/2 X 45  PVC SIN HILO;SI;;25
SAAR040;UNIDAD;;51;40;TEE DE 1/2 PVC ;SI;;3
SAAR041;UNIDAD;;52;41;UNION DE 1/2 MIXTA PVC;SI;;2
SAAR042;UNIDAD;;53;42;UNON DE 1/2 PVC;SI;;23
SAAR043;UNIDAD;;54;43;ADAPTADOR UPR  DE 1/2 ;SI;;11
SAAR044;UNIDAD;;55;44;UPR DE 1/2 ;SI;;0
SAAR045;UNIDAD;;56;45;ADAPTARO UPR DE 3/4;SI;;4
SAAR046;UNIDAD;;57;46;"ADAPTADOR UPR DE 1""";SI;;9
SAAR047;UNIDAD;;58;47;NIPLE DE 1/2 X 3;;;58
SAAR048;UNIDAD;;59;48;NIPLE DE 1/2 X 2 1/2;;;53
SAAR049;UNIDAD;;60;49;NIPLE DE 1/2 X 2 ;;;38
SAAR050;UNIDAD;;61;50;NIPLE DE 1/2 X 1 1/2 ;;;52
SAAR051;UNIDAD;;62;51;NIPLE 0 ;;;90
SAAR052;UNIDAD;;63;52;"NIPLE DE 1 1/2 X 4 """;;;5
SAAR053;UNIDAD;;64;53;UNION UNIVERSAL DE 3/4 TIGRE ;;;21
SAAR054;UNIDAD;;65;54;CODO DE 3/4 TIGRE ;;;58
SAAR055;UNIDAD;;66;55;TEE 3/4;;;16
SAAR056;UNIDAD;;67;56;TAPON DE 3/4 PVC;;;12
SAAR057;UNIDAD;;68;57;TAPON MACHO 3/4;;;54
SAAR058;UNIDAD;;69;58;UNION 3/4 TIGRE ;;;12
SAAR059;UNIDAD;;70;59;"REDUCCION DE 1 "" A 3/4 ";;;5
SAAR060;UNIDAD;;71;60;"TEE DE 1""";;;2
SAAR061;UNIDAD;;72;61;"TAPON HEMBRA DE 1""";;;6
SAAR062;UNIDAD;;73;62;"TAPON MACHO DE 1""";;;2
SAAR063;UNIDAD;;74;63;REDUCCION DE 1/2 A 3/4 ;;;35
SAAR064;UNIDAD;;75;64;"UNION DE 1 """;;;20
SAAR065;UNIDAD;;76;65;"UNION UNIVERSAL DE 1 """;;;15
SAAR066;UNIDAD;;77;66;"REDUCCION DE 1 "" 1/2 ";;;20
SAAR067;UNIDAD;;78;67;"CODO DE 1"" X 90 ";;;15
SAAR068;UNIDAD;;79;68;"NIPLE DE 1"" X 2 ";;;23
SAAR069;UNIDAD;;80;69;NIPLE DE 3/4 X 1/2;;;24
SAAR070;UNIDAD;;81;70;"NIPLE DE 1"" A 1/2";;;24
SAAR071;UNIDAD;;82;71;NIPLE DE 3/4 X 4;;;14
SAAR072;UNIDAD;;83;72;NIPLE DE 3/4 X 2 1/2;;;17
SAAR073;UNIDAD;;84;73;NIPLE DE 3/4 X 3;;;4
SAAR074;UNIDAD;;85;74;"TAPON DE 2""";;;10
SAAR075;UNIDAD;;86;75;"TAPON DE 3 """;;;14
SAAR076;UNIDAD;;87;76;"TAPON DE 4""";;;1
SAAR077;UNIDAD;;88;77;CODO SIN HILO 3/4 PVC;;;7
SAAR078;UNIDAD;;89;78;TEE SIN HILO 3/4 PVC;;;13
SAAR079;UNIDAD;;90;79;UNION SIN HILO 3/4 PVC;;;12
SAAR080;UNIDAD;;91;80;VALVULA PVC DE 1/2;SI;;
SAAR081;UNIDAD;;92;81;VALVULA PVC DE 3/4;SI;;
SAAR082;UNIDAD;;93;82;VALVULA PVC PLASTISUR 3/4;SI;;
SAAR083;UNIDAD;;94;83;VALVULA PVC PLASTISUR 1/2;SI;;
SAAR084;UNIDAD;;95;84;VALVULA PVC TOSISAC DE 1/2;SI;;
SAAR085;UNIDAD;;96;85;VALVULA PVC METUSA DE 1/2;SI;;
SAAR086;UNIDAD;;97;86;LLAVE LABATORIO NACIONAL ;SI;;
SAAR087;UNIDAD;;98;87;BRAZO DE DUCHA NACIONAL;SI;;
SAAR088;UNIDAD;;99;88;LLAVE JARDIN LABATORIO ;SI;;
SAAR089;UNIDAD;;100;89;VALVULA DE 1/2 DE PASO MARIPOSA;SI;;
SAAR090;UNIDAD;;101;90;VALVULA CHECK DE 1/2;SI;;
SAAR091;UNIDAD;;102;91;VALVULA CHECK DE 3/4;SI;;
SAAR092;UNIDAD;;103;92;CINTA TEFFLON 1/2;SI;;
SAAR093;UNIDAD;;104;93;CINTA TEFFLON 3/4;SI;;
SAAR094;UNIDAD;;105;94;CINTA TEFFLON PARA GAS 1/2 AMARILLA;SI;;
SAAR095;UNIDAD;;106;95;CAÑO JARDIN DE 1/2;SI;;
SAAR096;UNIDAD;;107;96;DISCOS DE CORTE 4 X 1/2 DE METAL ;SI;;
